,cuisine
Brazilian,0.69593147751606
British,0.572139303482587
Cajun Creole,0.7897800776196636
Chinese,0.9019827908716798
Filipino,0.7403973509933774
French,0.717687074829932
Greek,0.7948936170212766
Indian,0.936063936063936
Irish,0.6086956521739131
Italian,0.9205154376116356
Jamaican,0.8022813688212928
Japanese,0.7716092761770906
Korean,0.8602409638554217
Mexican,0.9423734078906493
Moroccan,0.8611449451887941
Russian,0.623721881390593
Southern Us,0.8486111111111111
Spanish,0.5813953488372093
Thai,0.8310591293047433
Vietnamese,0.6557575757575758
